Variables,Site,Time,mean_vals,var_vals
NN,BP,Day,2.8606756756756755,37.63537624953721
NN,BP,Night,2.7410126582278482,14.180150243427459
NN,W,Day,0.6590476190476191,2.401129202524383
NN,W,Night,0.7593827160493827,3.1385308641975307
Phosphate,BP,Day,0.1985135135135135,0.02304570529433543
Phosphate,BP,Night,0.20063291139240508,0.010708568646543331
Phosphate,W,Day,0.13535714285714287,0.008764931153184165
Phosphate,W,Night,0.134320987654321,0.009032345679012345
Salinity,BP,Day,33.9939392404054,1.3397117926672724
Salinity,BP,Night,34.09478814493671,0.5295881087441358
Salinity,W,Day,34.03717478654762,1.97568614385915
Salinity,W,Night,33.9975828028395,2.3182324749072394
Silicate,BP,Day,17.331756756756757,769.8127050907071
Silicate,BP,Night,14.914303797468355,304.3069838039598
Silicate,W,Day,14.653214285714286,1022.863850989673
Silicate,W,Night,15.554074074074075,1200.2089519444444
TA,BP,Day,2264.113879189189,2078.1529386541083
TA,BP,Night,2278.5126532025315,1932.1514146574837
TA,W,Day,2247.380593809524,1030.0372410600335
TA,W,Night,2258.7903689876543,1244.4789756568778
Temp_in,BP,Day,26.444209216756757,1.523621750064137
Temp_in,BP,Night,25.23028577898734,1.434314513821238
Temp_in,W,Day,25.711042045238095,1.778841230269517
Temp_in,W,Night,24.824837056419753,1.1111143196576878
pH,BP,Day,8.134743243243243,0.009922604405775621
pH,BP,Night,7.9852876273670885,0.002107680608360166
pH,W,Day,8.070285714285713,0.005162929432013766
pH,W,Night,7.955148148148148,0.0018419277777777729
percent_sgd,BP,Day,2.182840901324324,12.210798639330847
percent_sgd,BP,Night,1.878375793101266,4.8269290428831075
percent_sgd,W,Day,1.8931801402619048,17.07402484622002
percent_sgd,W,Night,2.0095702937530864,20.034335408047006
